match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
0,1000003,3,0,62,8,44,6,173,115,0,0.2871,8928949620056570774,573698896888585702,71,115,39,36,128
1,1000004,3,0,94,6,51,6,118,81,0,0.4220,-5651187729104043785,7663602719465211501,40,35,38,1837,31
2,1000005,1,0,36,6,21,2,86,49,0,0.3309,1864763584613732421,627404532934490336,71,107,35,26,27
3,1000006,0,0,64,12,40,6,130,74,0,0.4794,-6353868569828414290,-2276801398309906511,1755,35,76,31,50
4,1000007,0,0,100,14,49,10,244,130,0,0.5061,-7638962712094148136,5695839949474858966,1392,112,35,75,1026
5,1000008,4,0,121,16,45,7,221,133,0,0.6134,-5669200651744848447,-6394759160145971877,74,370,27,846,2274
6,1000009,4,0,34,6,21,3,98,48,0,0.2757,-5249289088960594300,-2433145811720437171,62,43,31,37,26
7,1000010,2,0,56,6,39,6,120,53,0,0.3548,-5593303487383738625,740660578561297432,65,44,74,104,72
8,1000011,1,0,97,10,46,5,183,105,0,0.4330,-6218040163275336879,-475056859267905657,113,26,67,35,40
9,1000012,1,0,91,8,32,7,210,128,0,0.4707,-1686839827125682857,-7244746561911926075,99,593,35,275,47
10,1000013,4,0,68,9,42,5,89,55,0,0.3257,-7557245764476403273,-522042036118050761,30,265,28,42,71
11,1000014,0,0,56,10,38,9,106,51,0,0.4969,-2509560510004809225,-8447924822638491515,106,35,39,25,27
12,1000015,0,0,88,12,56,13,177,108,0,0.4394,-190661475014123772,-96916007764348097,1337,50,1455,49,46
13,1000016,1,0,72,11,52,7,121,50,0,0.3166,2890896697358350396,-6796686422107560787,1238,41,36,37,1910
14,1000017,3,0,142,11,46,8,480,318,0,0.4878,4974863759165896223,-2234706422479404665,110,50,163,1499,186
15,1000018,1,0,112,12,57,10,207,134,0,0.4902,-3690835663645218266,-1889677670334672869,104,112,46,62,112
16,1000019,1,0,109,9,54,6,177,124,0,0.4445,-3929236056230563449,-3301885376566733091,1082,1036,34,32,44
17,1000020,0,0,149,22,92,16,206,148,0,0.3100,4188746792981640283,-3137417933554556029,1936,38,1129,903,52
18,1000021,4,0,126,14,72,11,384,252,0,0.5055,8070684505656352696,6174722434458299015,89,42,267,67,2477
19,1000022,1,0,228,18,98,9,484,369,0,0.3982,-1006027801563681479,4695480883473634449,598,116,74,62,96
