match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
20,1000023,0,0,28,7,22,6,53,16,0,0.3476,-3396442629173621623,-6682655033934416038,64,27,26,23,58
21,1000024,4,0,127,12,83,7,291,206,0,0.3151,2859424674134045411,-6894495898641079291,272,386,628,960,114
22,1000025,4,0,52,8,35,5,108,55,0,0.3375,-6895450905971494165,-329587842776618335,84,22,27,93,29
23,1000026,3,0,114,15,52,11,244,142,0,0.4975,7282981333242531735,-2549565840082735587,81,38,183,213,45
24,1000027,0,0,81,14,55,11,217,139,0,0.3743,3426399585241143209,-4801154991227527604,196,48,441,1044,181
25,1000028,0,0,91,10,64,14,189,123,0,0.4148,-6088234151797852714,5070802383440936144,883,140,977,52,120
26,1000029,2,0,147,12,43,5,211,148,0,0.6374,-1212995595078456684,5293247107303596379,32,490,1944,264,38
27,1000030,3,0,95,14,60,7,260,191,0,0.4301,9092081744510137804,815488967703131688,196,522,53,1867,64
28,1000031,0,0,70,13,39,5,169,96,0,0.4608,-6884907621863589708,-3896360941426885970,879,105,36,99,455
29,1000032,2,0,76,10,39,1,181,94,0,0.4047,3147642709305028596,-3468752708575771866,83,39,46,69,38
30,1000033,3,0,385,14,119,6,804,640,0,0.4784,6392962915249380927,2752174439161541344,108,44,62,136,36
31,1000034,2,0,59,11,46,10,127,76,0,0.4104,-4783230388169806738,9184845063518051664,96,54,802,34,411
32,1000035,2,0,73,13,54,11,252,160,0,0.2951,-3345694664362156813,-7725862950062160978,1151,1402,450,688,79
33,1000036,1,0,101,16,76,13,208,132,0,0.4098,8400543929918243112,-457308571073615352,396,352,129,210,42
34,1000037,0,0,118,8,56,7,204,140,0,0.4835,-4785996556738150929,-8416316405254125343,98,326,50,431,41
35,1000038,0,0,94,11,38,7,209,122,0,0.4366,-7198979973350199026,6730323435261972822,178,105,53,48,46
36,1000039,2,0,44,8,34,5,95,31,0,0.2838,-1761109580383016910,7033122230861798147,916,42,37,19,31
37,1000040,2,0,129,8,57,8,230,172,0,0.3693,6727600873123776405,6102823107448673351,121,53,746,109,65
38,1000041,0,0,82,8,43,8,122,66,0,0.4987,-2412298364649935674,-252590400961237311,182,453,59,26,53
39,1000042,0,0,61,8,37,7,108,52,0,0.4042,-3041494217602704683,7972035731461820732,150,26,49,69,37
40,1000043,3,0,107,12,64,9,281,168,0,0.3972,-5879385083929405778,-2149974555361079889,103,54,442,486,81
41,1000044,0,0,40,13,34,6,97,41,0,0.3302,6355898674081876947,-6619578701861068587,93,47,30,42,151
42,1000045,2,0,86,13,58,7,165,104,0,0.3043,-229271175262584618,7605332179890937952,176,32,810,101,73
43,1000046,0,0,79,10,46,9,236,141,0,0.4419,2968802556848003261,-3960523588192622813,410,75,107,55,24
44,1000047,1,0,117,8,60,8,220,143,0,0.3372,6907370089801000279,-5068417520873725490,78,727,81,29,72
45,1000048,4,0,159,13,78,11,417,292,0,0.4444,2288922424046868373,2997514276320554033,657,58,101,1730,380
46,1000049,0,0,95,11,47,9,171,106,0,0.3880,5838979038797421695,-6475085149859138965,103,149,26,44,23
47,1000050,3,0,111,19,86,15,255,179,0,0.3470,-4244512473980502235,3009219615465030057,72,1707,2183,233,1076
48,1000051,1,0,93,11,44,6,169,109,0,0.4292,354530708551371778,486148566146290135,77,360,26,34,25
49,1000052,3,0,33,9,35,11,87,35,0,0.2724,-7534649981373394532,-3020144555813235692,68,80,87,75,32
50,1000053,4,0,60,9,44,6,99,36,0,0.3384,-612365849271912270,-4736591169262037737,1780,616,35,26,34
51,1000054,0,0,90,10,36,4,144,93,0,0.4181,-2937596579485708966,1702405912359648261,142,67,76,21,33
52,1000055,2,0,62,13,52,7,170,83,0,0.4780,1379474896647243507,7573480494995698884,114,26,45,61,64
53,1000056,1,0,75,11,54,10,152,75,0,0.3579,2428816407075949201,217794495234382793,142,527,1112,138,91
54,1000057,2,0,104,14,53,11,249,186,0,0.4280,-6073724339373167785,-3595691839334146331,48,64,1228,60,38
55,1000058,0,0,59,6,31,2,121,64,0,0.4461,-7690522637337954284,6429357011074638531,101,45,93,44,37
56,1000059,1,0,189,25,104,13,556,381,0,0.3962,3515985701619907925,3664807196412910000,137,55,1792,68,31
57,1000060,4,0,116,16,69,14,269,179,0,0.5094,-8665887825909059447,-121779318265596646,107,150,334,790,722
58,1000061,1,0,19,7,19,6,54,16,0,0.2932,5649893151879130062,5314950831017235451,61,28,24,54,26
59,1000062,0,0,59,9,42,8,121,63,0,0.3314,5824757065333808333,7958613219975327283,92,112,70,109,49
60,1000063,1,0,144,14,79,13,341,223,0,0.3707,-9121310439380562664,7639743523492932665,151,223,26,94,55
61,1000064,0,0,90,11,40,6,190,107,0,0.4567,-214811427582247135,5846146340978963873,164,85,69,113,321
62,1000065,3,0,134,13,74,8,417,284,0,0.3837,6467900047785486047,8671771463174015851,103,165,91,1652,74
63,1000066,1,0,96,11,63,11,241,150,0,0.3519,-9014323167259978434,6297033924721651769,466,1479,1419,151,61
64,1000067,1,0,94,10,41,8,223,140,0,0.5133,2927544228389010701,-7948454373405595729,651,1211,27,266,70
65,1000068,2,0,76,13,41,7,164,92,0,0.4361,3805606517025318805,4933383212338221064,83,1378,43,56,40
66,1000069,4,0,57,9,45,8,111,40,0,0.4144,1773512811469994542,-3675214327041300048,100,1685,74,726,26
67,1000070,3,0,61,10,38,6,150,86,0,0.4753,1824566466237191545,2365532676130130904,72,46,33,63,29
68,1000071,0,0,116,16,73,5,235,143,0,0.4087,591179465631392450,-315768355035145925,167,62,86,41,78
69,1000072,0,0,22,5,16,4,57,14,0,0.2547,-5032652720836049560,-6504805226254739190,81,36,31,34,14
70,1000073,0,0,71,10,45,5,144,94,0,0.3648,1510682667450723259,1221922680063808978,109,46,458,41,38
71,1000074,1,0,167,16,91,10,483,298,0,0.4582,4658740488972477314,2394086669896462468,202,739,781,52,35
72,1000075,3,0,82,10,36,7,120,71,0,0.3553,348180710234200791,7422423957920164145,64,93,68,94,79
73,1000076,2,0,247,18,112,8,558,440,0,0.3774,-8059258032742781102,-6088363417092766355,102,53,75,27,69
74,1000077,4,0,127,12,61,6,273,194,0,0.4710,7841205249101405089,-1938053224544796184,75,435,172,52,2283
75,1000078,4,0,145,8,42,6,295,206,0,0.4002,-6603124110426591203,-4398885373264222208,404,79,79,59,70
76,1000079,2,0,107,17,82,24,295,174,0,0.4944,-6273038193264080816,-6917448432505602250,2354,1295,2283,52,32
77,1000080,0,0,110,15,57,8,251,159,0,0.3509,2388626798446594866,-1279439299284643374,90,35,40,67,71
78,1000081,3,0,67,8,42,7,112,54,0,0.3466,-7629233551793360640,-7096021428065889591,64,308,28,120,18
79,1000082,0,0,18,4,18,4,38,1,0,0.3365,-6253829676871659584,710304851452800915,63,24,25,25,27
80,1000083,0,0,81,12,52,9,161,104,0,0.3383,-6415963373799293736,8876106633265333293,1597,51,98,34,26
81,1000084,3,0,53,9,41,7,121,61,0,0.4270,-2031737725834789795,-3049114554466603332,926,30,26,52,50
82,1000085,0,0,39,7,31,6,67,29,0,0.4014,-4793772734819067114,6812670943412708601,129,27,45,103,114
83,1000086,4,0,88,13,63,12,222,153,0,0.3683,1219596427637466321,6043440076876734106,594,553,1377,51,36
84,1000087,0,0,63,7,39,10,127,65,0,0.2640,9107183113115814577,2538310127470289957,129,68,423,62,37
85,1000088,0,0,83,14,67,15,166,95,0,0.3662,1577152985419002717,-687131697409011283,695,39,80,1629,474
86,1000089,4,0,90,9,47,4,161,90,0,0.4994,-2876894052237716001,-3298754725655674116,67,660,60,39,23
87,1000090,2,0,145,14,57,11,334,254,0,0.4265,2823952045147825032,9188710887154827237,70,420,71,143,46
88,1000091,2,0,73,12,49,7,171,94,0,0.3190,-2061754796328676317,1106866710064952186,78,1650,26,26,41
89,1000092,3,0,123,14,71,8,229,152,0,0.3384,6162019007819701728,-3702704874234093751,97,35,167,1692,45
90,1000093,0,0,32,7,28,3,55,17,0,0.2974,3451818099105595231,229870391251176875,117,39,249,55,31
91,1000094,0,0,119,14,72,14,195,120,0,0.5368,-1071594407128305431,3669628035252570994,216,23,40,47,55
92,1000095,2,0,92,18,65,9,240,147,0,0.3796,-3424893555362528799,-1469105395961679254,126,62,1691,39,85
93,1000096,0,0,121,12,61,9,379,250,0,0.3470,-264859048670404187,-5486228149997006797,1962,25,136,49,138
94,1000097,1,0,31,6,23,5,53,16,0,0.2877,819939648395036402,3124286100612389377,60,25,38,27,50
95,1000098,2,0,60,9,40,11,145,67,0,0.3505,4442217835761798190,5946329986107434305,73,49,211,279,28
96,1000099,1,0,84,13,51,7,158,98,0,0.3523,-990319764755659901,7863559457438470904,174,116,42,34,32
97,1000100,3,0,84,14,61,13,183,103,0,0.3328,-2611984881635936630,-5872298247589844861,59,212,179,100,28
98,1000101,0,0,35,9,27,5,102,38,0,0.3366,4445235571030158049,-3744656111132049070,122,47,60,38,27
99,1000102,0,0,100,11,59,9,253,143,0,0.3978,-4475446664015576875,2165993806264406705,363,662,1885,343,52
