match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
88,1000091,4,0,35,6,29,4,98,40,0,0.2759,-9063013851850740642,5614018239412479902,102,78,26,81,49
89,1000092,3,0,36,12,30,5,73,28,0,0.2745,8229498833705828322,3055483243857306327,82,46,48,44,51
90,1000093,1,0,63,10,48,12,135,65,0,0.3415,-5893121357349378299,1289677947774934099,69,517,412,1214,51
91,1000094,4,0,35,10,30,6,79,28,0,0.3700,-724041992881787884,-6862155392888745832,85,30,44,160,22
92,1000095,3,0,60,10,51,7,327,240,0,0.2989,-4073966196117672663,-2787085528021389926,487,1331,189,956,432
93,1000096,3,0,120,10,37,6,516,360,0,0.5048,2667894007853927108,4227365936219687392,68,2882,63,1306,4035
94,1000097,2,0,120,12,70,7,342,230,0,0.3119,6590157139194107515,2059640001507313990,571,41,46,85,2071
95,1000098,1,0,77,9,42,11,271,166,0,0.4189,-883023098118040833,-620471647763187774,86,2134,81,81,99
96,1000099,4,0,33,8,31,5,84,40,0,0.3341,-3687134630916585676,-7162159473374631996,100,419,36,46,38
97,1000100,3,0,94,14,35,7,388,267,0,0.4327,4701316720170473513,-2614403352495347622,85,78,64,69,43
98,1000101,2,0,64,10,45,10,234,134,0,0.3343,-6441866827159798088,6409051131952253063,140,84,118,77,121
99,1000102,4,0,103,9,56,9,608,410,0,0.4375,-5860289394991224205,-2824756770459727776,218,380,151,333,5034
